times collected,species
16,Tortula systylia (Schimp.) Lindb.
17,Climacium americanum Brid.
17,Homalothecium aureum (Spruce) H. Rob.
17,"Jochenia pallescens (Hedw.) Hedenäs, Schlesak & D. Quandt"
17,Ptychostomum cernuum (Hedw.) Hornsch.
17,Schistidium atrichum (Müll. Hal. & Kindb.) W.A. Weber
17,Sciuro-Hypnum plumosum (Hedw.) Ignatov & Huttunen
17,Sphagnum capillifolium (Ehrh.) Hedw.
17,Syntrichia virescens (De Not.) Ochyra
18,Bucklandiella sudetica (Funck) Bedn.-Ochyra & Ochyra
18,Eurhynchiastrum diversifolium (Schimp.) J. Guerra
18,Tortula inermis (Brid.) Mont.
18,Weissia condensa (Voit) Lindb.
19,Amphidium mougeotii (Bruch & Schimp.) Schimp.
19,Drepanocladus turgescens (T. Jensen) Broth.
19,Nyholmiella obtusifolia (Brid.) Holmen & E. Warncke
19,Tayloria lingulata (Dicks.) Lindb.
20,Coscinodon cribrosus (Hedw.) Spruce
20,Leptopterigynandrum austroalpinum Müll. Hal.
20,Orthotrichum cupulatum Hoffm. ex Brid.
20,Paraleucobryum sauteri (Bruch & Schimp.) Loeske
20,Plagiopus oederianus (Sw.) H.A. Crum & L.E. Anderson
20,Ptychostomum inclinatum (Sw. ex Brid.) J.R. Spence
20,Schistidium frigidum H.H. Blom
20,Schistidium trichodon (Brid.) Poelt
21,Arctoa starkei (F. Weber & D. Mohr) Loeske
21,Saelania glaucescens (Hedw.) Broth.
21,Syntrichia montana Nees
21,Tortella arctica (Arnell) Crundw. & Nyholm
21,Vinealobryum brachyphyllum (Sull.) R.H. Zander
22,Orthodicranum tauricum (Sapjegin) Smirnova
22,Tomentypnum nitens (Hedwig) Loeske
23,Barbula unguiculata Hedw.
23,Brachytheciastrum velutinum (Hedw.) Ignatov & Huttunen
23,Lescuraea arizonae (R.S. Williams) P.S. Wilson & D.H. Norris
23,Lescuraea saxicola (Schimp.) Molendo
23,Orthodicranum montanum (Hedw.) Loeske
24,Bryum lanatum (P. Beauv.) Brid.
24,Drepanocladus polycarpos (Blandow ex Voit) Warnst.
24,Platyhypnum molle (Hedw.) Loeske
25,Dicranum elongatum Schleich. ex Schwägr.
25,Grimmia pilifera P. Beauv.
25,Imbribryum alpinum (Huds. ex With.) N. Pedersen
25,Rhizomnium punctatum (Hedw.) T.J. Kop.
25,Timmia bavarica Hessl.
26,Brachythecium acuminatum (Hedw.) Austin
26,Dicranum fuscescens Turner
26,Fabronia pusilla Raddi
26,Flexitrichum gracile (Mitt.) Ignatov & Fedosov
26,Hymenostylium recurvirostrum (Hedw.) Dixon
26,Jaffueliobryum wrightii (Sull.) Thér.
26,Plagiobryum demissum (Hook.) Lindb.
26,Pohlia tundrae A.J. Shaw
26,Tortula acaulon (With.) R.H. Zander
27,Aulacomnium androgynum (Hedw.) Schwägr.
27,Calliergon cordifolium (Hedw.) Kindb.
27,Dicranum polysetum Sw.
27,"Hygroamblystegium humile (P. Beauv.) Vanderp., Hedenäs & Goffinet"
27,Lescuraea patens (Lindb.) Arnell & C.E.O. Jensen
27,Pterygoneurum subsessile (Brid.) Jur.
28,Didymodon acutus (Brid.) K. Saito
28,Entodon concinnus (De Not.) Paris
28,Grimmia trichophylla Grev.
28,Hennediella heimii (Hedw.) R.H. Zander
28,Hygrohypnella bestii (Renauld & Bryhn) Ignatov & Ignatova
28,Orthotrichum pellucidum Lindb.
29,Flexitrichum flexicaule (Schwägr.) Ignatov & Fedosov
29,Grimmia torquata Hook.
29,Mielichhoferia mielichhoferiana (Funck) Loeske
29,Plagiothecium laetum Schimp.
29,Ptychostomum pallens (Sw.) J.R. Spence
29,Tortula laureri (Schultz) Lindb.
30,Jaffueliobryum raui (Austin) Thér.
30,Mnium lycopodioides Schwägr.
30,Sphagnum angustifolium (Russow) C.E.O. Jensen
31,Gymnostomum aeruginosum Sm.
31,Isopterygiella pulchella (Hedw.) Ignatov & Ignatova
31,Palustriella commutata (Hedw.) Ochyra
31,Plagiomnium medium (Bruch & Schimp.) T.J. Kop.
32,Brachytheciastrum fendleri (Sull.) Ochyra & Żarnowiec
32,Drepanocladus longifolius (Wilson ex Mitt.) Broth. ex Paris
32,Pseudoleskeella rupestris (Berggr.) Hedenäs & L. Söderstr.
32,Rosulabryum flaccidum (Brid.) J.R. Spence
32,Stegonia latifolia (Schwägr.) Venturi ex Broth.
33,Brachythecium turgidum (Hartm.) Kindb.
33,Geheebia tophacea (Brid.) R.H. Zander
33,Grimmia pulvinata (Hedw.) Sm.
33,Husnotiella asperifolia (Mitt.) J.A. Jiménez & M.J. Cano
33,Hygroamblystegium varium (Hedw.) Mönk.
33,Schistidium tenerum (J.E. Zetterst.) Nyholm
33,Sphagnum fuscum (Schimp.) H. Klinggr.
34,Dichelyma falcatum (Hedw.) Myrin
34,Pterygoneurum ovatum (Hedw.) Dixon
35,Atrichum selwynii Austin
35,Meesia uliginosa Hedw.
35,Philonotis marchica (Hedw.) Brid.
35,Pohlia bolanderi (Lesq.) Broth.
35,Schistidium dupretii (Thér.) W.A. Weber
36,Bryum calobryoides J.R. Spence
36,Conardia compacta (Müll. Hal.) H. Rob.
36,Pleurozium schreberi (Willd. ex Brid.) Mitt.
36,Sphagnum fimbriatum Wilson
37,Sphagnum teres (Schimp.) Ångstr. ex C. Hartm.
38,Dichodontium pellucidum (Hedw.) Schimp.
38,Homalothecium nevadense (Lesq.) Renauld & Cardot
39,Hygroamblystegium tenax (Hedw.) Jenn.
39,Mielichhoferia elongata (Hoppe & Hornsch. ex Hook.) Hornsch.
39,Pterigynandrum filiforme Hedw.
40,Brachythecium salebrosum (Hoffm. ex F. Weber & D. Mohr) Schimp.
40,Grimmia sessitana De Not.
40,Platydictya jungermannioides (Brid.) H.A. Crum
40,Tortella fragilis (Drumm.) Limpr.
41,Distichium inclinatum (Hedw.) Bruch & Schimp.
41,Pohlia elongata Hedw.
43,Campylium chrysophyllum (Brid.) Lange
43,Platyhypnum duriusculum (De Not.) Ochyra
43,Pohlia proligera (Kindb. ex Breidl.) Lindb. ex Arnell
43,Syntrichia caninervis Mitt.
44,Rhizomnium pseudopunctatum (Bruch & Schimp.) T.J. Kop.
44,Sphagnum squarrosum Crome
44,Tetraphis pellucida Hedw.
45,Bartramia subulata Bruch & Schimp.
45,Fissidens bryoides Hedw.
46,Pohlia drummondii (Müll. Hal.) A.L. Andrews
46,Rosulabryum moravicum (Podp.) Ochyra & Stebel
47,Dicranoweisia cirrata (Hedw.) Lindb. ex Milde
47,Polytrichum strictum Menzies ex Brid.
47,Schistidium rivulare (Brid.) Podp.
47,Weissia controversa Hedw.
48,Fontinalis hypnoides Hartm.
48,Myurella julacea (Schwägr.) Schimp.
49,Campylopus schimperi Milde
49,Scorpidium revolvens (Sw.) Rubers
49,Tomentypnum nitens (Hedw.) Loeske
50,Blindia acuta (Hedw.) Bruch & Schimp.
50,Paraleucobryum longifolium (Ehrh. ex Hedw.) Péterfi
50,Pohlia obtusifolia (Vill. ex Brid.) L.F. Koch
50,Vinealobryum vineale (Brid.) R.H. Zander
52,Fabronia ciliaris (Brid.) Brid.
53,Fontinalis antipyretica Hedw.
53,Pylaisia polyantha (Hedw.) Schimp.
53,Schistidium confertum (Funck) Bruch & Schimp.
54,Straminergon stramineum (Dicks. ex Brid.) Hedenäs
54,Timmia megapolitana Hedw.
55,Grimmia mollis Bruch & Schimp.
55,Leptodictyum riparium (Hedw.) Warnst.
55,Orthotrichum anomalum Hedw.
56,Grimmia plagiopodia Hedw.
56,Plagiomnium cuspidatum (Hedw.) T.J. Kop.
56,Sarmentypnum sarmentosum (Wahlenb.) Tuom. & T.J. Kop.
57,Mnium blyttii Bruch & Schimp.
57,Neckera oligocarpa Bruch
57,Neckera pennata Hedw.
60,Niphotrichum canescens (Hedw.) Bedn.-Ochyra & Ochyra
60,Tortula obtusifolia (Schwägr.) Mathieu
61,Grimmia anodon Bruch & Schimp.
63,Ptychostomum creberrimum (Taylor) J.R. Spence & H.P. Ramsay
63,Rosulabryum capillare (Hedw.) J.R. Spence
64,Philonotis americana Dism.
64,Philonotis tomentella Molendo
65,Encalypta rhaptocarpa Schwägr.
65,Fontinalis neomexicana Sull. & Lesq.
68,Andreaea rupestris Hedw.
68,Brachythecium cirrosum (Schwägr.) Schimp.
68,Encalypta ciliata Hedw.
68,Oreas martiana (Hoppe & Hornsch.) Brid.
68,Warnstorfia fluitans (Hedw.) Loeske
69,Helodium blandovii (F. Weber & D. Mohr) Warnst.
70,Polytrichum longisetum Sw. ex Brid.
72,Ptychostomum weigelii (Biehler) J.R. Spence
74,Grimmia donniana Sm.
74,Hylocomium splendens (Hedw.) Schimp.
76,"Buckia vaucheri (Lesq.) D. Ríos, M.T. Gallego & J. Guerra"
80,Grimmia ovalis (Hedw.) Lindb.
82,Ptychostomum turbinatum (Hedw.) J.R. Spence
82,Tortella tortuosa (Schrad. ex Hedw.) Limpr.
84,Calliergonella lindbergii (Mitt.) Hedenäs
84,Funaria hygrometrica Hedw.
84,Mnium thomsonii Schimp.
85,Grimmia alpestris (F. Weber & D. Mohr) Schleich.
85,Pohlia longicolla (Hedw.) Lindb.
85,Rhizomnium magnifolium (Horik.) T.J. Kop.
86,Palustriella falcata (Brid.) Hedenäs
88,Didymodon rigidulus Hedw.
90,Dicranum muehlenbeckii Bruch & Schimp.
90,Ptychostomum bimum (Schreb.) J.R. Spence
91,Abietinella abietina (Hedw.) M. Fleisch.
92,Plagiomnium ellipticum (Brid.) T.J. Kop.
94,Plagiothecium denticulatum (Hedw.) Schimp.
95,Mnium marginatum (Dicks.) P. Beauv.
95,Scorpidium cossonii (Schimp.) Hedenäs
96,"Brideliella wahlenbergii (Brid.) Fedosov, M. Stech & Ignatov"
96,Lescuraea incurvata (Hedw.) E. Lawton
96,Pohlia wahlenbergii (F. Weber & D. Mohr) A.L. Andrews
96,Pseudoleskeella nervosa (Brid.) Nyholm
97,Amphidium lapponicum (Hedw.) Schimp.
100,Sciuro-Hypnum latifolium (Kindb.) Ignatov & Huttunen
101,Leptobryum pyriforme (Hedw.) Wilson
110,Sphagnum warnstorfii Russow
111,Grimmia elatior Bruch ex Bals.-Criv. & De Not.
112,Grimmia montana Bruch & Schimp.
112,Orthotrichum alpestre Hornsch. ex Bruch & Schimp.
112,Ptychostomum compactum Hornsch.
112,Schistidium agassizii Sull. & Lesq.
114,Bucklandiella affinis (Schleich. ex F. Weber & D. Mohr) Bedn.-Ochyra & Ochyra
115,Hygrohypnum luridum (Hedw.) Jenn.
115,Rhytidium rugosum (Hedw.) Austin ex C.F. Parker
115,Timmia austriaca Hedw.
117,Paraleucobryum enerve (Thed.) Loeske
120,Bartramia ithyphylla Brid.
121,Bryum argenteum Hedw.
121,Ptychostomum imbricatulum (Müll. Hal.) Holyoak & N. Pedersen
122,Eurhynchiastrum pulchellum (Hedw.) Ignatov & Huttunen
122,Lescuraea radicosa (Mitt.) Mönk.
123,Schistidium apocarpum (Hedw.) Bruch & Schimp.
128,Polytrichastrum lyallii (Mitt.) G.L. Sm.
135,Mnium arizonicum J.J. Amann
135,Orthotrichum hallii Sull. & Lesq.
136,Campylium stellatum (Hedw.) Lange & C.E.O. Jensen
136,Polytrichastrum alpinum
137,Ptychostomum pseudotriquetrum (Hedw.) J.R. Spence & H.P. Ramsay
138,Sphagnum russowii Warnst.
139,Ptychostomum pallescens (Schleich. ex Schwägr.) J.R. Spence
142,Grimmia longirostris Hook.
143,Brachythecium rivulare Schimp.
143,"Lewinskya laevigata (J.E. Zetterst.) F. Lara, Garilleti & Goffinet"
144,Dicranum scoparium Hedw.
145,Oncophorus virens (Hedw.) Brid.
146,Cratoneuron filicinum (Hedw.) Spruce
146,Hedwigia ciliata (Hedw.) Boucher
146,Polytrichum juniperinum Hedw.
147,Hypnum cupressiforme Hedw.
149,Climacium dendroides (Hedw.) F. Weber & D. Mohr
150,Encalypta vulgaris Hedw.
150,Tortula mucronifolia Schwägr.
151,Dicranum rhabdocarpum Sull.
151,Syntrichia norvegica F. Weber
158,Brachythecium erythrorrhizon Schimp.
166,Polytrichum piliferum Hedw.
168,Philonotis fontana (Hedw.) Brid.
168,Sarmentypnum exannulatum (Schimp.) Hedenäs
175,Bryoerythrophyllum recurvirostrum (Hedw.) Chen
178,Hygrohypnella ochracea (Turner ex Wilson) Ignatov & Ignatova
180,Drepanocladus aduncus (Hedw.) Warnst.
184,Pseudoleskeella tectorum (Funck ex Brid.) Kindb. ex Broth.
186,Distichium capillaceum (Hedw.) Bruch & Schimp.
188,"Lewinskya rupestris (Schleich. ex Schwägr.) F. Lara, Garilleti & Goffinet"
192,Amblystegium serpens (Hedw.) Schimp.
194,Pohlia cruda (Hedw.) Lindb.
197,Tortula hoppeana (Schultz) Ochyra
203,Coscinodon calyptratus (Drumm.) C.E.O. Jensen
241,Pohlia nutans (Hedw.) Lindb.
243,Sanionia uncinata (Hedw.) Loeske
247,Hymenoloma crispulum (Hedw.) Ochyra
252,Brachytheciastrum collinum (Schleich. ex Müll. Hal.) Ignatov & Huttunen
262,Aulacomnium palustre (Hedw.) Schwägr.
320,Syntrichia ruralis (Hedw.) F. Weber & D. Mohr
399,Ceratodon purpureus (Hedw.) Brid.
478,Roaldia revoluta (Mitt.) P.E.A.S. Câmara & Carv.-Silva
